row_id,finding_id,raiser,short_desc,correspondence,counterpart_severity,notes,era
GUI-2,GUI-2-B1,B,failed-index per-frame rebuild loop,bilateral,unknown,row lists rebuild-loop among the BILATERAL set; RA severity not recoverable,pre-5.1
GUI-2,GUI-2-A1,A,wrong-patch highlight on a legal two-Transform document,severity_split,MINOR/NOTE (inferred),row calls it bilateral; RB A-W-F 1/5/4 spends its only MAJOR on the rebuild loop,pre-5.1
GUI-2,GUI-2-A2,A,compiled seal counterexample (bare key stored and compared),severity_split,MINOR/NOTE (inferred),"RB raised the seal probe itself but judged the door HOLDS; same subject, weaker verdict",pre-5.1
GUI-2,GUI-2-A3,A,two green-surviving transform mutations (#1097 s4 class),severity_split,MINOR/NOTE (inferred),row lists transform-blindness as bilateral; RB carried it below MAJOR,pre-5.1
GUI-2,GUI-2-A4,A,leave-viewport false disagreement,unilateral,none,"row declares UNILATERAL, read-not-run",pre-5.1
GUI-4,GUI-4-A1,A,real-gallery ops inert (M1),unilateral,none,"row declares UNILATERAL, demonstrated by execution, dedup single",pre-5.1
GUI-4,GUI-4-A2,A,identity-mutant survives all 17 rows,severity_split,NOTE,row: bilateral with RB NOTE-2/NOTE-1,pre-5.1
GUI-4,GUI-4-A3,A,inert save-as rebind the PR claimed worked,severity_split,NOTE,row: bilateral with RB NOTE-1/NOTE-2,pre-5.1
LILYWELD1,LILYWELD1-A1,A,module header claims the neck IS the tangent cone the unit s own probe records refused,unilateral,none,"RB made a blanket module-doc-correct claim (the opposite assertion), which is not a mention of the defect; conflict resolved to RA's verbatim quote",pre-5.1
SHELLFIX2A,SHELLFIX2A-A1,A,conditioning meter measures the REQUEST (cube refused singular; threshold loosens 17x with face count),severity_split,MINOR,row: RB corroborated the meter finding at lower severity,pre-5.1
SHELLFIX2A,SHELLFIX2A-A2,A,the 'built silently' BEFORE cell false at base,severity_split,MINOR,row: RB corroborated the BEFORE-cell finding at lower severity,pre-5.1
SHELLFIX2A,SHELLFIX2A-A3,A,third MAJOR not identifiable (six-site stale-class prose vs the valence-4 attacks),unclear,unclear,RA NMAI 3/8/6 implies a third MAJOR; the row names four candidate items and does not say which carried MAJOR,pre-5.1
F7POLE,F7POLE-X1,A,falsification 1 (the predicate admits ordinary coplanar splits),bilateral,MAJOR,row: both arms converge on both falsifications; recorded once,pre-5.1
F7POLE,F7POLE-X2,A,falsification 2 (the second foundation),bilateral,MAJOR,row: both arms converge on both falsifications; recorded once,pre-5.1
F7POLE,F7POLE-A3,A,the (d) exemption unlocked nobody - the merge OUTPUT stage dead-ends regardless,unilateral,none,row declares RA MAJ-3 unilateral and the first tally-eligible unilateral MAJOR,pre-5.1
P-1b,P-1b-X1,A,the not-a-rigid-translation retirement is NOT made,bilateral,MAJOR,"row: BILATERAL, reached by opposite methods (RB by code deduction + ball-at-rest, RA by two red teapot rows)",pre-5.1
P-1b,P-1b-A1,A,no hosted CI run exists for the frozen head; the cited green run is CANCELLED and on a different SHA,unilateral,none,row declares RA unilateral; orchestrator verified independently,pre-5.1
P-1b,P-1b-A2,A,two committed rows RED on the frozen head,unilateral,none,"row: RB never ran tour, so it could not have mentioned them",pre-5.1
P-1b,P-1b-A3,A,the `declared` authority record is METERED NOWHERE,unilateral,none,row: RA found this unilaterally; RB never touches the metering,pre-5.1
M10-1,M10-1-A1,A,deep-tail cancellation: 1 - erf bit-zeros the tail from ~8.5 sigma while real mass remains,unilateral,none,row declares unilateral by execution; RB A-W-F 0/3/3 never touches the tail,pre-5.1
M10-1,M10-1-A2,A,erfc / quantile_z one-CDF coupling class,unclear,none,"RB does not mention it, but the row does not establish it as one of RA s three MAJORs rather than a MINOR",pre-5.1
M10-1,M10-1-A3,A,two tautological accounting rows,unclear,none,same: severity not recoverable; test-gap-shaped,pre-5.1
M10-1,M10-1-A4,A,the carry-forward class,severity_split,MINOR/NOTE,row: bilateral at differing severities (RB has 0 MAJORs),pre-5.1
M10-1,M10-1-A5,A,the unpinned GUI fix,severity_split,MAJOR-side unclear,row: bilateral at differing severities; RB supplied the three pins,pre-5.1
M10-DI,M10-DI-B1,B,three of four certifying policy arms gut-to-green (unguarded),unilateral,none,row declares MAJ-1 unilateral; RA APPROVE 0/3/2 never raises the guarding of the policy arms,pre-5.1
M10-DI,M10-DI-B2,B,the Dual arm s Ok(()) grant plus the unenforced E4 pairing hook (silent deviation),severity_split,MINOR,"row: bilateral with RA s assemble-at-Dual availability inversion at lower severity, dedup single",pre-5.1
M10-DI,M10-DI-B3,B,"DL3 witnesses named wrongly (real refusers are cut_cylinder/loft_prism, 2 of 18)",unilateral,none,row declares unilateral,pre-5.1
M10-DI,M10-DI-B4,B,DL5 selection clause contradicts the projection::mid class named sixty lines up,unilateral,none,"RA raised a different DL5 item (the surplus remedy clause), not this contradiction",pre-5.1
G18A,G18A-B1,B,prior= elides the seam s gates (moved pin and missing document stop refusing under a memo),severity_split,MINOR,row: the SAME headline defect found independently by RA at MINOR with a counter-framing; explicitly no tally candidate,pre-5.1
M10-P,M10-P-X1,A,reduce_periodic sweep receipt omits seven same-spelling sites / same-shape floor-folds in topo,bilateral,MAJOR,"row: the receipt/class MAJORs bilateral in substance (RA by spelling, RB by shape), dedup single; recorded once",pre-5.1
M10-P,M10-P-B2,B,typed Structure vocabulary reaches 1 of the record s 11 decision classes vs the claim,severity_split,MINOR,row: bilateral with RA s fit-case MINOR,pre-5.1
M10-P,M10-P-B1,B,interval-box capability unreachable through any public door with only the Dual half disclosed,unilateral,none,"row declares unilateral, doc/disclosure-class",pre-5.1
CERT2,CERT2-A1,A,"wrong-diagnosis class survives just inside the new admission set (1e-300 silent Ok, ~2e297 m step)",severity_split,MINOR,"row: RA-MAJ <-> RB-MIN-1, one class, bilateral at differing severity",pre-5.1
CERT2,CERT2-B2,B,the R4 sentence s second disjunct unproducible and the only text firing for issue 1218 s input,severity_split,MINOR,"row: RB-MAJ-2 <-> RA-MIN-2, bilateral at differing severity",pre-5.1
CERT2,CERT2-B1,B,"three live D285-spelling predicate siblings in-fence (the sweep swept the fold shape, not the predicate shape)",unilateral,none,"row declares unilateral, accepted by inspection",pre-5.1
P-2,P-2-A1,A,#1157 fix PARTIAL: 1 + s*n.z vs 1 + |n.z|; the demanded f64 bitwise row structurally cannot catch it,severity_split,NOTE,"row: the two arms CONTRADICTED each other - RA MAJOR with the [0,1] measurement, RB graded a weaker case (z=[-1,1]) a NOTE and claimed everything narrower held. RB is wrong but it DID mention the item, so not unilateral",pre-5.1
P-2,P-2-X2,unclear,acceptance 1's first half ASSERTED not measured (mate_surface precondition fails on the unit's own fixture),unclear,unclear,the row names three MAJORs but attributes only (a) to an arm; (b) is not attributed to RA or RB in the blinded material,pre-5.1
P-2,P-2-X3,unclear,item 7's ruling was WRONG - the exact class cannot apply to a partial column,unclear,unclear,same: no arm attribution in the material; it is a finding against the orchestrator ruling,pre-5.1
BLEND1,BLEND1-X1,B,rewritten SeamVertex recourse OVER-promises at concave seam-split rims (tag fires on pure incidence before any convexity gate),bilateral,MAJOR,"row: both arms, both by execution, both MAJOR; dedup single; recorded once",pre-5.1
CERT1,CERT1-B1,B,props_meridian_pole ESCALATES on a split vertex 1e-6/1e-7 rad off the pole through the import door,unilateral,none,"row: RA mentioned neither RB MAJOR at any severity; RA's near-polar probe sat at 0.0208 rad, outside the band RB probed",pre-5.1
CERT1,CERT1-B2,B,membership test wrong past |dt| = 2*pi (3*pi span ACCEPTED at -50%),unilateral,none,row: RA mentioned neither at any severity,pre-5.1
M10-3,M10-3-X1,A,total()/unresolved() compose UNCONDITIONAL mass columns as conditional; E10 under-reports unresolved mass by the whole tail,bilateral,MAJOR,"row: RB found the SAME accounting MAJ independently from its own fixture, identically diagnosed, dedup single; recorded once",pre-5.1
M10-3,M10-3-B2,B,flip naming is a SECOND verdict-diff engine by positional zip; the existing generic vdiff was rejected as unsound,unilateral,none,row declares RB s vdiff MAJ unilateral; RA never touches it,pre-5.1
M10-2,M10-2-X1,B,a measure of transform-placed geometry silently reads the UNMOVED carrier (0.5 where the geometry sits at 0.75),bilateral,MAJOR,"row: RA M3 == RB MAJ, bilateral, dedup single; recorded once",pre-5.1
M10-2,M10-2-A1,A,eval_measure restates expr::eval arithmetic without its non-finite door: 13/s at s=0 measures inf and the assertion reports Holds,unilateral,none,row declares M1 unilateral by execution; RB never raises the non-finite door,pre-5.1
M10-2,M10-2-A2,A,plane-gap sign read as an arbitrary chart normal (6 of 12 forward readings report interference on disjoint slabs),severity_split,MINOR,"row: bilateral with RB MIN-7 at split severity, adjudicated MAJOR",pre-5.1
GA-1,GA-1-X1,B,spec-item-3 witness executed: definite Exits contradicted at its own arm on a hole wall (sagitta 0.125 vs first-order 0.0498),bilateral,MAJOR,"row: RA found the same charge-absence independently, dedup single; recorded once",pre-5.1
GA-1,GA-1-B2,B,second RB MAJOR not described,unclear,unclear,RB MERGEABLE-AFTER-FIXES 2/4/4 implies two MAJORs but the row describes only the bilateral witness finding,pre-5.1
BLEND7,BLEND7-A1,A,"the endorsed bound names the FIRST leg classified, not the tightest (five endorsed radii re-refuse with the identical variant)",severity_split,MINOR,row: RB MINOR-1 carried both mechanisms; bilateral in substance at differing severity,pre-5.1
BLEND7,BLEND7-A2,A,the class bound is not the EXISTENCE bound the ratified doc requires (8mm endorsed where 2-4mm is the window),severity_split,MINOR,row: RB MINOR-1 carried both mechanisms,pre-5.1
BLEND5,BLEND5-B1,B,reason 3 and two permanent doc comments assert unconditional role stability the tree refutes,severity_split,MINOR/NOTE,"row: headline BILATERAL at split severity, adjudicated MAJOR; RA A-W-F 0/4/1 carries no MAJOR",pre-5.1
BLEND3,BLEND3-B1,B,"deviation 1 SeamVertex precedent INVERTED (design ratified 08-25, implementation landed 08-26) and ThreeConcaveEdges not forced",unilateral,none,row declares UNILATERAL BY JUDGMENT: RA examined the same deviation and judged it sound without raising anything; judging a thing sound is not a mention of the defect,pre-5.1
QA-1,QA-1-B1,B,"gate-roster.sh prints the matcher-death diagnosis then exits 0 - the only gate never calling gate_ok, so the marker dies unread",unilateral,none,"row: RA's A/B read the diagnosis TEXT, not the gate's exit status, so RA never raised the exit-status defect",pre-5.1
QA-1,QA-1-A1,A,the too-expensive deterministic regression arm built in 400 files / 3.0 s against the PR s ~10x-high costing,severity_split,MAJOR/MINOR unclear,"row: bilateral in substance with RB s 350-file / 2.5 s construction, severity differed; neither severity is recorded so MAJOR status is not established",pre-5.1
QA-1,QA-1-A2,A,roster-prose self-test overclaim proven by mutation (3 of 4 regressions green),bilateral,unclear,row lists prose-overclaim as bilateral,pre-5.1
QA-3,QA-3-A1,A,"the mapping s written derivation false at its named case (four rows compile tess-meter, prose wrong at seven sites)",unilateral,none,row declares both RA MAJORs unique and unilateral,pre-5.1
QA-3,QA-3-A2,A,the unit s new debt-resolution pointer vouches for a still-false ci.yml step comment,unilateral,none,row declares unilateral,pre-5.1
QA-6,QA-6-A1,A,a landed written reason calls the LIVE nightly opt-level register a dated write-up (the charter s own check-for-a-register clause skipped),unilateral,none,row declares RA unique + unilateral MAJOR,pre-5.1
QA-9,QA-9-X1,A,"the new can-take-it clause prints only AFTER the request failed flock, so it is false exactly when it persists",bilateral,MAJOR,"row: BILATERAL MAJOR, independently reproduced by both arms with the same leak-seat construction; recorded once",pre-5.1
CERT4,CERT4-B1,B,"structural-zero bitwise on [0, pi) false at nextbelow(pi) via half-to-even; both unit pins sample around it",severity_split,MINOR,"row: RA found the same headline independently at MINOR, explicitly no tally candidate",pre-5.1
QA-6B,QA-6B-B1,B,"leg-B headline finding FALSE (SPLIT_SCAN_DECADES doc block IS matched at base, seven of eight) with the disposition tally overclaimed",severity_split,MINOR,RA raised the SPLIT_SCAN_DECADES disposition overstatement; row calls it bilateral-in-substance at split severity,pre-5.1
QA-6B,QA-6B-B2,B,"leg A1 INCOMPLETE, residue undisclosed (five sampled unedited blocks, two live unbucketed claims)",unilateral,none,RA raises nothing on leg A1,pre-5.1
QA-6B,QA-6B-B3,B,the k-lint 8-10 minutes claim STALE while the new prose asserts its currency (101 s on the PR s own run),unilateral,none,RA does not raise it; note the row records this as partly the DISPATCH s own premise error,pre-5.1
QA-6B,QA-6B-B4,B,critical-path note missing the LIVE nightly opt-level register,unilateral,none,third instance of the same class in the unit; RA silent,pre-5.1
QA-6B,QA-6B-B5,B,reconciliation-note second copies,unilateral,none,RA silent,pre-5.1
AZ-1,AZ-1-B1,B,"the PR s f64 bit-identical-everywhere claim FALSIFIED at the parameter level (surgery 101/261, replace_face 4/9 differ 1-2 ulp)",unilateral,none,row declares both principal MAJs unilateral; RA s MAJs are elsewhere,pre-5.1
AZ-1,AZ-1-A1,A,the agreement grids stop at |delta|<=3.1; at exactly pi the retired form and param_near disagree by 2*pi in 5 of 10 boundary cases,unilateral,none,"row declares it RA s unique MAJ, unilateral",pre-5.1
AZ-1,AZ-1-A2,A,k-lint green-name-over-skipped-steps,severity_split,MINOR,row: bilateral-downgraded via RB s MIN-3,pre-5.1
CERT5,CERT5-X1,A,"dm1 residual is not the PR s number (both lanes 2.079742683172597e-6, identical to 17 digits)",bilateral,MAJOR,row: all three MAJORs bilateral by execution; recorded once,pre-5.1
CERT5,CERT5-X2,A,the cert5 rows stay green under a drop-knots mutant (pads area-dominated),bilateral,MAJOR,row: all three MAJORs bilateral by execution,pre-5.1
CERT5,CERT5-X3,A,the sliver hazard (absurd-width refusals / DegenerateFace on an area-3.14 patch),bilateral,MAJOR,row: all three MAJORs bilateral by execution,pre-5.1
SS-1,SS-1-X1,B,sphere_sphere_section internal-tangency point WRONG whenever operand A is the smaller sphere,bilateral,MAJOR,"row: MAJ BILATERAL 1, both arms with independent evidence; recorded once",pre-5.1
SS-1,SS-1-X2,B,the latitude lever UNPINNED - mutated to the axial form the entire suite stays green,bilateral,MAJOR,row: MAJ BILATERAL 2; recorded once,pre-5.1
SS-1,SS-1-A3,A,the bool_sphere_trim* predicate family appears in ZERO test files; no ringed/non-iso/full-period None rows,unilateral,none,"row declares RA MAJ-3 unilateral, class test-gap, grep-proven",pre-5.1
CERT6,CERT6-B1,B,"the 16-chord perimeter bound ALIASES (Nyquist collapse at k = 0 mod 8), measured 32.5x understatement against a 52x margin",unilateral,none,row: RA APPROVE 0/1/4 raises nothing in this family; verdict divergence on a unilateral executed MAJOR,pre-5.1
CERT8,CERT8-A1,A,the mean-width CONTRACT at ChartOverlap::PositiveArea false under non-constant stretch (model width 97x below the reading),severity_split,NOTE/MINOR,row: RB held the same fact at NOTE/MIN,post-5.1
CERT8,CERT8-A2,A,the swap pin non-binding,bilateral,MAJOR,row: bilateral with RB s structural argument,post-5.1
CERT10,CERT10-A1,A,"the PR body s ""the fold removed an assembly per shipped face"" FALSE on the shipped path (2.00 assemblies/face before and after)",unilateral,none,"RB inspected the SAME claim and judged the give-back real - it engaged the subject but never raised the defect, so unilateral holds under the instrument s letter",post-5.1
CERTM1,CERTM1-A1,A,powi s derived ceiling uses a normal-range relative bound while WINDOWS[1] is entirely subnormal and ceiling-carrying,severity_split,MINOR,row: RB reached the SAME substance by a probe at 2^-1024 and rated it MIN,post-5.1
CERTM2,CERTM2-A1,A,"check 7 s closed-form arm computes at a dual: the split retired a NegativeVolume VERDICT, so the at-rest doors disagree at a dual",unilateral,none,row declares RA s MAJOR unilateral and executed; RB s three MAJORs are elsewhere,post-5.1
CERTM2,CERTM2-B1,B,"H5 s landed numbers wrong on three axes (ten Dual rows, not eight)",severity_split,MINOR,row lists H5 s count among the bilateral-at-differing-severity set; RA carried it as a MINOR,post-5.1
CERTM2,CERTM2-B2,B,"the checks-8/9 gating UNTESTED, with checks 8/9 s own comments contradicting the body s premise",severity_split,MINOR,row lists the 8/9 gating among the bilateral-at-differing-severity set,post-5.1
CERTM2,CERTM2-B3,B,the structural half bounded PropsQuadLane where H-R16 spells Decide (public lane-trait doors 2 -> 4),unilateral,none,not in the row s bilateral list; RA never raises the lane-trait bound,post-5.1
CERTN2,CERTN2-X1,A,props.rs:1349 missing from the roster,bilateral,MAJOR,"both arms name the same site as a MAJOR; the row also lists the roster under bilateral-at-differing-severity, so the two labels in the row conflict - either way not unilateral",post-5.1
CERTN2,CERTN2-A2,A,class 9 FALSE - tier-3 check 1 goes SILENT on the masquerade (executed),severity_split,MINOR/NOTE,row lists class 9 among the bilateral-at-differing-severity set,post-5.1
CERTN2,CERTN2-A3,A,the in-fence single-channel sweep undischarged (surfaces.rs:1451 and ~12 geom/tests sites),unilateral,none,row names the sweep as one of RA s unilateral tally candidates,post-5.1
CERTN2,CERTN2-A4,A,four live SMELL-SCAN citations of the renamed module unpaid,severity_split,MINOR/NOTE,row lists the citation bill among the bilateral set,post-5.1
CERTN2,CERTN2-A5,A,"""a transposition cannot compile"" FALSE (compiled both ways)",unilateral,none,row names the transposition claim as one of RA s unilateral tally candidates,post-5.1
CERTN2,CERTN2-A6,A,S350 UNDERSTATED - the partial box CLEARS an interference pair,severity_split,MINOR/NOTE,row lists S350 s mechanism among the bilateral set,post-5.1
CERTN2,CERTN2-B1,B,a SECOND S350-class member in fence: nurbs_surface_aabb yields a one-axis-poisoned box and Aabb::overlaps PRUNES on the finite axes,unilateral,none,row names the AABB prune as one of RB s unilateral tally candidates,post-5.1
CERTN2,CERTN2-B2,B,S101 s class swept from the WRONG commit (7aa0672a8 vs 0a9f16c73),unilateral,none,row names the S101 commit as one of RB s unilateral tally candidates,post-5.1
CERTM3,CERTM3-X1,B,"the check-2 skip is WHOLE-EDGE and three doors skip, not two; two production consumers reach a body only through a skipping door",bilateral,MAJOR,"row: BILATERAL MAJOR, both executed; recorded once",post-5.1
CERTM3,CERTM3-X2,B,"euler.rs compile_fail,E0277 row actually emits E0599",bilateral,MAJOR,"row: BILATERAL MAJOR, both executed; recorded once",post-5.1
CERTM3,CERTM3-B3,B,the census absence row is a HALF-FIX (ChartRegionLane has two methods; declared_overlap None still collapsed),unilateral,none,row declares it an RB unilateral MAJOR; RA never raises the second method,post-5.1
CERTM3,CERTM3-B4,B,"the contract question posed to Ev rests on a FALSE premise (three consumers, not one)",unilateral,none,row: RA read the opposite; orchestrator-verified for RB,post-5.1
BOOL1,BOOL1-B1,B,"band-independence FALSIFIED by a dy-displacement ladder: within-band flush pairs reach the arm, new refusal at eps=1e-6 where main returned Ok",unilateral,none,row declares MAJOR-1 unilateral and executed; RA APPROVE with no MAJOR and nothing in this family,pre-5.1
BOOL1,BOOL1-B2,B,"""refusals: none changed, vacuously satisfied"" wrong - Escalated{ChartResidual} newly reachable out of split",unilateral,none,same root as MAJOR-1 per the row,pre-5.1
GAUTH2,GAUTH2-B1,B,frame::disagreement fed the hovered ENTITY name: phantom disagreement within 6 px of any edge,unilateral,none,row declares MAJ-1 unilateral and demonstrated; RA A-W-F 0/3/5 has no MAJOR and filed only the unpickable-face note,pre-5.1
GAUTH2,GAUTH2-B2,B,"whole faces unreachable for the mate tool (full-pane rasters, 0-px aim points)",severity_split,NOTE,"row: partially bilateral, RA held the same fact at NOTE severity",pre-5.1
MESH1,MESH1-B1,B,the sweep missed >=7 instances including 3 matching its own pattern,unilateral,none,RA APPROVE 0/2/1 raises nothing on sweep completeness,pre-5.1
MESH1,MESH1-B2,B,the blind-spot list omitted the scalar-determinant spelling (4 more hits),unilateral,none,RA silent,pre-5.1
MESH1,MESH1-B3,B,docs/GUIDE.md executed snippet left divergent from its repaired twin,unilateral,none,RA silent; the row calls it the one silent deviation,pre-5.1
MESH1,MESH1-B4,B,the no-e2e claim falsified: r=1e-6 ball at 1e3 gives check_mesh Ok with 2.3e-34 vs 3.9e-18,unilateral,none,RA silent; row records it EXECUTED with a built fixture,pre-5.1
SEAT1,SEAT1-X1,A,six interval-cfg orphans turn the lint-interval row red,bilateral,MAJOR,"row: the single MAJOR was BILATERAL, both arms executing the same red independently; recorded once",pre-5.1
MATE1,MATE1-X1,B,the headline F-conjugation UNEXERCISED (F=I in every committed row; a reversed-conjugation mutant survives all 839 rows),bilateral,MAJOR,"row: RA found the same under-toothed-conjugation MAJ independently, dedup single; recorded once",pre-5.1
MATE1,MATE1-B2,B,the eval<->solve stepped-rule mirror unguarded (10% one-sided eval drift greens all 8 rows),severity_split,style,row: the mirror-drift MAJ was mentioned by RA at style severity,pre-5.1
GAUTH5,GAUTH5-B1,B,the cross-target refusal notice is erased in the same frame by the batch-status policy (exists for zero frames),unclear,NOTE (adjacent),"row calls it NEAR-unilateral: RA s NOTE-9 touched the keep-last composition but not the erasure mechanism. Whether that is a mention of the same issue is exactly the judgement call, so coded unclear rather than counted",pre-5.1
GAUTH5,GAUTH5-A1,A,load_all_edges spans bodies on Split/Pattern (24 held vs 12 drawn),severity_split,MINOR,row: RB held the same substance at MINOR-2,pre-5.1
GAUTH5,GAUTH5-A2,A,a tool-authored strand: operand move strands 6 of 30 under a surviving target,severity_split,NOTE,row: RB held the same substance at NOTE-5,pre-5.1
MATE2,MATE2-A1,A,open VERBS PR #1353 implements the IDENTICAL three-valued split on the same function with a conflicting undeclared-arm posture,severity_split,NOTE,row: RB found the SAME collision independently at NOTE severity,pre-5.1
MATE6,MATE6-A1,A,mint-totality UNGUARDED: both continue->break reverted leaves 867/867 green because every committed row placed its bad mate last,unilateral,none,row declares MAJ unilateral and executed; RB s described findings are elsewhere,pre-5.1
MATE6,MATE6-B1,B,undescribed finding implied by RB s triple,unclear,unclear,the row gives RB M-A-F 1/0/2 yet describes only a MIN-labelled deviation-4 finding that is bilateral with RA s; the row is internally inconsistent so no MAJOR can be identified,pre-5.1
MESH2,MESH2-B1,B,"the siting defense s mitigate_underflow premise FALSE - it snaps only sub-floor values, so no small-but-real neighbour was ever at risk",unilateral,none,row declares both RB MAJORs unilateral and executed; RA APPROVE 0/2/0,pre-5.1
MESH2,MESH2-B2,B,the class is only PARTLY closed - ringed/concentric charts refuse SYSTEMATICALLY on the same nu-squared law,unilateral,none,row declares it unilateral and executed; RA concluded the argument held in-band and never raised the residue,pre-5.1
BOOL2,BOOL2-A1,A,the clamp floor s five-orders claim wrong by four orders (binding shell scales as sqrt(eps); 5.6e-6/1.78e-4/5.6e-3 across three eps decades),severity_split,MINOR,"row: bilateral-in-substance, both executed, label noise on the severity",post-5.1
GA-2,GA-2-A1,A,the certified-scalar both-arms pin DOES NOT EXIST (bool_germ_frame_axes_coplanar never evaluated at Interval anywhere),severity_split,MINOR,row: RB reached the same finding at MINOR; severity adjudicated toward RA,post-5.1
MATE5,MATE5-X1,B,the carrier gates do not discharge the transfer premise; red probes certify PositiveArea on trims 18-36 k*eps apart,bilateral,MAJOR,row: RA found the SAME premise MAJ independently with its own executions; recorded once,post-5.1
MATE5,MATE5-B2,B,the asked interval lane exercises neither the certifying rows nor the f64-only fast path; PeriodFold constructed by no test at any scalar,unilateral,none,"RA never raises the interval-lane coverage; the row omits this MAJOR from its correspondence sentence, which speaks only of the central MAJ",post-5.1
MESH3,MESH3-A1,A,the halfcap at-every-eps / never-reaches-pole_v claims false at 1e-6,severity_split,MINOR,"row: BILATERAL with RB s MINOR-3 at split severity, label noise",post-5.1
MESH3,MESH3-A2,A,"an in-tree body DOES sit inside the pole band (halfcap vertex 1.000e-9 m vs eps 1e-6), falsifying the fixture premise",unilateral,none,row declares MAJOR-2 unilateral and executed,post-5.1
MATE8,MATE8-A1,A,"deviation 4 FALSE AND UNDERCOUNTING (base reds 2 rows, head 5 at 1e-3; three newly band-specific, one uncounted)",severity_split,MINOR,row: RB reached the same deviation-4 finding at MIN; adjudicated MAJOR on record-correctness,post-5.1
MATE7A,MATE7A-B1,B,classify_shared_rim dropped the tier-3 arm s all_smooth tangency precondition: a definite 53 degree transverse rim answers Ok(Seam),unilateral,none,row declares the MAJ unilateral and executed; RA MERGEABLE 0/2/2 with no MAJOR,post-5.1
BOOL3,BOOL3-A1,A,"two sqrt(eps) prose sites INSIDE the cube-law suite, one the Q6 guard row s own numbered obligation",unilateral,none,row declares MAJOR-1 unilateral; RB raises nothing in this family,post-5.1
BOOL3,BOOL3-A2,A,the cbrt containment claim (truncation bias no interval encloses; 1.46e-15 rel at the length^6 extreme),severity_split,MINOR,"row: BILATERAL with RB s MINOR at split severity, label noise",post-5.1
