row_id,finding_id,raiser,short_desc,unilateral,defect_class,dedup_group,demonstrated,fair_pair,evidence,era
QA-1,QA-1-B1,B,converted gate exits 0 after diagnosing its own matcher death,yes,code,QA-1-a,yes,yes,"Executed; the closed defect re-minted in the unit s own new code. Identical briefs, no relaxations, separate checkouts - fair pair. This is a clean tally candidate",pre-5.1
QA-3,QA-3-A1,A,mapping derivation prose false at seven sites,yes,doc,QA-3-a,yes,yes,"Measured (four rows compile it, seven sites) but the defect is in the written derivation, not in code, tests or a contract surface - record/derivation class, excluded by (b). The row itself annotates it record-class",pre-5.1
QA-3,QA-3-A2,A,debt-resolution pointer vouches for a false comment (discharge-by-line-number class),yes,doc,QA-3-b,yes,yes,"Record-class, excluded by (b). Same pair, same fairness",pre-5.1
QA-6,QA-6-A1,A,written reason mis-describes a live register as a dated write-up,yes,doc,QA-6-a,yes,yes,"Record/derivation class, excluded by (b) as the row annotates",pre-5.1
QA-6B,QA-6B-B2,B,leg A1 incomplete with undisclosed residue,yes,doc,QA-6B-b,yes,yes,"Record/derivation class, excluded by (b). Concurrent, separate checkouts, identical method - fair pair",pre-5.1
QA-6B,QA-6B-B3,B,stale k-lint duration claim asserted as current,yes,doc,QA-6B-c,yes,yes,"Record class, excluded by (b). The orchestrator records its own spec premise as partly responsible",pre-5.1
QA-6B,QA-6B-B4,B,critical-path note omits the live register,yes,doc,QA-6B-d,yes,yes,"Record class, excluded by (b)",pre-5.1
QA-6B,QA-6B-B5,B,duplicated reconciliation note,yes,doc,QA-6B-e,unclear,yes,"Record class, excluded by (b)",pre-5.1
AZ-1,AZ-1-B1,B,bit-identity claim false; the digest structurally cannot see parameter-level movement,yes,test-gap,AZ-1-a,yes,no,"Measured by in-place instrumentation, and the cited evidence is structurally blind (the digest hashes outcomes+points; the corpus never calls plan_reanchors). Half claim-class, half test-gap; test-gap is admitted under (b). PAIR FAILS (e): the original RB process died undelivered and its orphaned children injected a probe file into the redispatch's checkout, and RA died at a limit post-report with the rubric recovered by message",pre-5.1
AZ-1,AZ-1-A1,A,untested boundary where the two parameter forms disagree by 2*pi,yes,test-gap,AZ-1-b,yes,no,Measured on 5 of 10 boundary cases and invisible to the offset door s point-comparison guard: test-gap plus a real wrong answer. Same pair-level (e) failure as AZ-1-B1,pre-5.1
SS-1,SS-1-A3,A,bool_sphere_trim* predicate family entirely untested,yes,test-gap,SS-1-c,no,no,"Class is admitted under (b), but (d) is NOT met: the evidence is a grep showing absence of tests - no red probe, no surviving mutant, no compile-fail pin, no red CI row, no measured wrong value. Departs from the row, which lists it as THE tally candidate. Pair also fails (e): RA died at a limit mid-review and resumed",pre-5.1
CERT6,CERT6-B1,B,"perimeter bound aliases and understates by 32.5x, opening a release-panic path",yes,code,CERT6-a,yes,yes,"Executed, measured wrong value, plus a door-authored calibration counter-example at 2.05x the corpus max. Sequential method with a disclosed orchestrator-direct tip commit; neither arm interrupted. Clean tally candidate",pre-5.1
CERT10,CERT10-A1,A,PR performance claim false on the shipped path,yes,claim,CERT10-a,yes,no,"Instrumented and measured, and unilateral in the detection sense. But the defect is in the PR body's claim, not in code, tests or a contract surface, so (b) excludes it. This departs from the row, which calls it the program's FOURTH standing tally candidate. Pair also fails (e): RB was interrupted once by a rate limit and resumed",post-5.1
CERTM2,CERTM2-A1,A,tier-3 split silently retired a verdict at Dual64,yes,code,CERTM2-a,yes,no,"Executed on 7 reverted closed-form bodies; a real behaviour divergence, not a record defect. PAIR FAILS (e): RA ran across the 08:05Z container restart and was resumed",post-5.1
CERTM2,CERTM2-B3,B,structural half bounds the wrong lane trait against the ratified spelling,yes,contract-API,CERTM2-d,unclear,no,"Class is admitted, but no execution evidence is stated for this leg. Pair fails (e) on RA s container-restart resume",post-5.1
CERTN2,CERTN2-A3,A,single-channel sweep undischarged in fence,yes,code,CERTN2-c,unclear,no,"Class is admitted, but no execution evidence is stated for the sweep leg - the sites are named, not exercised. PAIR FAILS (e): RB ran across the 08:05Z container restart and was resumed from its transcript",post-5.1
CERTN2,CERTN2-A5,A,transposition-cannot-compile claim falsified,yes,claim,CERTN2-e,yes,no,"Demonstrated by a compile both ways - (d) is met. But the defect is a false claim about the type surface rather than a behaviour, test or contract defect, so (b) is the question; coded claim-class and therefore excluded. Pair fails (e)",post-5.1
CERTN2,CERTN2-B1,B,poisoned AABB silently pruned from the boolean lane,yes,code,CERTN2-f,yes,no,"Executed and reachable from the boolean lane, which never read is_placeholder - a genuine silent wrong answer. (b) and (d) both met; PAIR FAILS (e) on RB s container-restart resume",post-5.1
CERTN2,CERTN2-B2,B,sweep taken from the wrong base commit,yes,doc,CERTN2-g,yes,no,"Verified with git log -S, but the defect is in the record of which commit was swept - record class, excluded by (b). Pair fails (e)",post-5.1
CERTM3,CERTM3-B3,B,census absence fix covers one of two lane methods,yes,code,CERTM3-c,unclear,yes,"Executed on the FIXED arm but only inspected on the missed ones, which is where the defect lives - (d) not clearly met. Sequential method, no interruption, so the pair is fair",post-5.1
CERTM3,CERTM3-B4,B,contract question posed on a false consumer count,yes,claim,CERTM3-d,no,yes,"Inspected, not executed - (d) fails; record/claim class - (b) fails",post-5.1
BOOL1,BOOL1-B1,B,band-independence false; behaviour changes for within-band flush pairs,yes,code,BOOL1-a,yes,yes,"Executed ladder with a measured verdict flip against main. Briefs symmetric, no relaxations, both arms uninterrupted - clean tally candidate",pre-5.1
BOOL1,BOOL1-B2,B,"refusal-set claim wrong, same root as B1",yes,claim,BOOL1-a,yes,yes,"Dedups into BOOL1-a per the row s own same-root note, so it must not be counted a second time",pre-5.1
GAUTH2,GAUTH2-B1,B,phantom frame disagreement from the hovered entity name,yes,code,GAUTH2-a,yes,yes,"By execution; nothing redded because the policy suite only ever fed a face (test-gap alongside). Symmetric briefs, no relaxations, pair counts - clean tally candidate",pre-5.1
MESH1,MESH1-B1,B,sweep incomplete - seven further instances of the idiom,unclear,code,MESH1-a,no,yes,"Unilateral holds. Class coded code (the missed sites are live code, not only a record error) against the row's record/derivation annotation - but (d) fails either way: the instances were found by pattern-matching, not by execution",pre-5.1
MESH1,MESH1-B2,B,blind-spot list omits a spelling,unclear,code,MESH1-a,no,yes,Same defect group as MESH1-B1 (one incomplete sweep) so it dedups; (d) fails,pre-5.1
MESH1,MESH1-B3,B,GUIDE.md snippet diverges from its repaired twin,yes,doc,MESH1-c,no,yes,"Doc-class, excluded by (b)",pre-5.1
MESH1,MESH1-B4,B,claimed absence of end-to-end effect falsified on a built fixture,yes,code,MESH1-d,yes,yes,"Built fixture, measured values, reachable end to end. Briefs symmetric, no relaxations, pair counts - clean tally candidate",pre-5.1
GAUTH5,GAUTH5-B1,B,refusal notice erased in the frame it is raised,unclear,code,GAUTH5-a,yes,no,"Demonstrated by execution and code-class, but (a) is unresolved: RA's NOTE-9 sits on the adjacent composition. PAIR ALSO FAILS (e): RA was interrupted by a session limit after verification and before write-up and delivered from held state, which the row flags but scores anyway",pre-5.1
MATE6,MATE6-A1,A,mint-totality guarded by nothing; a reverting mutation stays green,yes,test-gap,MATE6-a,yes,yes,"Mutation executed and survived - (d) met by a surviving mutant. Test-gap is admitted under (b). Sequential same-head, both arms uninterrupted - clean tally candidate",pre-5.1
MESH2,MESH2-B1,B,siting justification rests on a false premise about mitigate_underflow,yes,claim,MESH2-a,unclear,yes,"The defect is in the PR s defence of where it sited the fix, not in behaviour - claim-class, excluded by (b). Evidence is a reading of spade s source rather than a probe",pre-5.1
MESH2,MESH2-B2,B,engineered-zero class still open for ringed/concentric charts,yes,code,MESH2-b,yes,yes,"Executed: square annulus red at nu=1e-25..1e-60 with the blanket variant green across suite+tour. Briefs symmetric, no relaxations, pair counts - clean tally candidate",pre-5.1
MATE5,MATE5-B2,B,requested interval lane exercises nothing that certifies,unclear,test-gap,MATE5-b,no,yes,"Unilateral looks right but the row never adjudicates it. (d) fails: a coverage absence established by reading, not by a red probe or a surviving mutant",post-5.1
MESH3,MESH3-A2,A,fixture premise falsified: an in-tree body lies inside the pole band,yes,claim,MESH3-b,yes,no,"Measured, but the no-route conclusion survives - what is defective is the stated premise, not the behaviour, so (b) excludes it. PAIR EXCLUDED under (e) by the row s own ruling: RB interrupted mid-review and resumed same-arm",post-5.1
MATE7A,MATE7A-B1,B,tangency precondition dropped; transverse rim certified as a seam,yes,code,MATE7A-a,yes,yes,"Executed end-to-end via verify_tangent_declaration, with the Wedge(Transverse) handler proven dead. Both arms uninterrupted, symmetric briefs - clean tally candidate",post-5.1
BOOL3,BOOL3-A1,A,stale sqrt-eps prose inside the cube-law suite,yes,doc,BOOL3-a,no,no,"Prose sites - doc-class, excluded by (b), and no execution. PAIR EXCLUDED under (e) by the row s own ruling: RB interrupted mid-review and resumed same-arm",post-5.1
MATE9,MATE9-B1,B,backing rung confines the point but not the edges,yes,code,MATE9-a,yes,yes,"Executed on a spike fixture; a genuine unsound certification. Both arms uninterrupted, symmetric briefs - clean tally candidate",post-5.1
MATE9,MATE9-A2,A,verified-interface conjunct pinned by nothing,yes,test-gap,MATE9-b,yes,yes,Surviving mutant with a control mutation that reds 2 - (d) met by a surviving mutant. Clean tally candidate,post-5.1
SEAT3,SEAT3-A1,A,module doc names the wrong shared door,yes,doc,SEAT3-a,no,yes,"Doc-only ((b) excludes) and by inspection ((d) excludes), exactly as the row states. Pair fair and counts",post-5.1
MESH6,MESH6-A1,A,price sentence contradicts the table it cites,yes,claim,MESH6-a,yes,yes,"Executed via the committed instrument, so (d) is met - but the defect is a false number in the PR's prose, not in code, tests or a contract surface, so (b) excludes it. Departs from the row, which counts it as the pair's one tally candidate",post-5.1
TX-1,TX-1-B2,B,the planted-red row exercises none of the unit s code,yes,test-gap,TX-1-b,yes,yes,"Mutation-proven: the row stayed green under the arm-breaking mutation, 3 of 7 rows insensitive, the true floor untested. Test-gap is admitted under (b); method symmetric both arms - clean tally candidate",post-5.1
BOOL9,BOOL9-A1,A,feature does not stand alone; isolated build is red,yes,code,BOOL9-a,yes,yes,"A compile-fail pin - one of (d) s named instruments. Briefs symmetric with hard rules written fresh, both arms uninterrupted - clean tally candidate",post-5.1
SEATDV,SEATDV-B1,B,overflow turns a loud panic into a definite wrong sign,yes,code,SEATDV-a,yes,yes,"Executed on head and merge base; the same document PANICKED on the base tripwire, so the deletion converted loud to silently wrong. Two MAJORs deduped to one defect by the row and kept as one here. Pair fair and counts - clean tally candidate",post-5.1
SEATDN,SEATDN-B2,B,"mapping pin reads the wrong const, so a site-name mutant survives",unclear,test-gap,SEATDN-b,yes,yes,"Unilateral and executed (only the interval sliver row catches the mutant), but (a) also requires MAJOR severity and the row never assigns one - coded unclear rather than counted",post-5.1
MESH7,MESH7-A1,A,"door certifies the carrier, not that the traversed arc stays on one chart meridian",yes,code,MESH7-a,yes,yes,"Executed: the assert fires at delta 0.5, CertificateExceeded at smaller delta, and an Ok non-watertight mesh with assertions off. The behaviour predates the unit (same on main) and the remedy was four retracted sentences, but the demonstrated defect is behavioural, not prose. Pair uninterrupted and symmetric - clean tally candidate",post-5.1
C5-1,C5-1-B2,B,stale post-flip sentences in four in-repo sites,yes,doc,C5-1-b,unclear,yes,"Doc-class, excluded by (b) as the row states",post-5.1
M10-4,M10-4-A2,A,loft section seeds a silent zero derivative,yes,code,M10-4-b,yes,yes,"Executed; the exact state the spec s grounding forbids, while the PR body said no valve was needed. Briefs symmetric, no relaxations, no interruptions - clean tally candidate",post-5.1
M10-5,M10-5-A3,A,verdict depends on traversal order; the measured-limit narrative is contradicted by its own table,yes,code,M10-5-c,yes,yes,"Executed: the same question answers Violated about one axis and Refused(Budget) about another. Symmetric briefs, no relaxations, no interruptions - clean tally candidate",post-5.1
M10-5,M10-5-B3,B,gross interpenetration cannot be reported and nothing says so,yes,code,M10-5-d,yes,yes,Executed at every budget. The row calls this the program s first symmetric pair of unilateral execution findings - clean tally candidate,post-5.1
M10-6,M10-6-A1,A,window enclosure unsound for the hi-reading assertion arms,unclear,code,M10-6-a,yes,yes,"Executed with measured false verdicts, code-class, pair fair. (a) is the open question: the row asserts unilateral while also recording RB meeting the finding s shape",post-5.1
M10-6,M10-6-A2,A,the demo decides on a float inside the coincidence band while preaching the funnel,yes,code,M10-6-b,yes,yes,"Executed, with the contradicting Assertion measured on the same enclosure. Hosted CI was budget-blocked for BOTH arms symmetrically and both said so row by row - fair pair. Clean tally candidate",post-5.1
M10-7,M10-7-A2,A,ceiling mechanism misattributed and the re-cut row blind to the real one,yes,test-gap,M10-7-b,yes,yes,Executed and refined through by bisection; the shipped row asserted only lo >= 1e-3 and could not see the mechanism. Symmetric briefs - clean tally candidate,post-5.1
M10-7,M10-7-B2,B,CI gate structurally unable to red since M10-6,yes,code,M10-7-c,yes,yes,"Executed: zero samples linted at any eps on the green run, and the rule-1 gate never able to red. Clean tally candidate",post-5.1
M10-8,M10-8-B1,B,a constant fold moves a ceiling the unit reported as immovable,yes,code,M10-8-a,yes,yes,"Executed with measured ceilings on two documents. Coded code-class, not claim: the substance is that the implementation REPLACED the plain form instead of reducing beside it and never built the spec s candidate shape. Briefs symmetric - clean tally candidate",post-5.1
M10-8,M10-8-A1,A,a live consumer exists for the door the unit said had none,yes,claim,M10-8-b,yes,yes,"Executed end to end, but what it defeats is the unit s claim that no consumer exists rather than a behaviour, test or contract defect - claim-class, so (b) excludes it. Departs from the row s tally-candidate label",post-5.1
M10-9,M10-9-B2,B,the four-identity walk moving the bound,yes,code,M10-9-b,unclear,unclear,"Executed at the time - but the row records that the FIX PASS found BOTH arms' walks were the same artefact one level up and the bound never moved, so the demonstration did not survive. Fair pair unclear: RB resumed once after ending a turn with detached runs the harness could not wake it for",post-5.1
CS-1,CS-1-A1,A,the sweep minted a new false doc sentence,yes,doc,CS-1-a,yes,yes,"Doc-class, excluded by (b) as the row states",post-5.1
CS-1,CS-1-A3,A,opening row pins the sphere-face half vacuously,yes,test-gap,CS-1-c,unclear,yes,"Class admitted. (d) coded unclear against the row s ""demonstrated"" label: the stated evidence is that the asserted strings are static literals in every message of the variant, which is an inspection argument rather than a red probe or a surviving mutant",post-5.1
K1,K1-A2,A,no row reds when the exit stops firing,unclear,test-gap,K1-b,yes,unclear,"Mutant-verified, so (d) holds. (a) unresolved per the rubric-only mention. Fair pair unclear: DISPATCHER FAULT - the two lanes shared one CARGO_TARGET_DIR, RA executed RB's mutated binary once, and RB's mutant matrix is flagged as possibly contaminated",post-5.1
K3,K3-A1,A,suite vacuous at the eps it claims to guard,yes,test-gap,K3-c,yes,yes,"Demonstrated by mutation (fresh-certificate, pad-one-ulp and hook-Some all green at 1e-12, red at 1e-9) and confirmed by the fix pass from its own side. Briefs sha256-stored, private target dirs, no interruption - clean tally candidate",post-5.1
Span,Span-B1,B,curve doors unguarded: panic where main returned poison,unclear,code,Span-a,yes,no,"(a) unresolved - RA's MINOR covers the same unguarded-mismatch surface at a weaker manifestation, and the row itself flags the severity divergence as the candidate's substance. PAIR ALSO FAILS (e): BOTH reviewers were killed by the account session limit at ~07:00Z and resumed from transcripts",post-5.1
Span,Span-B2,B,dead private guard,yes,code,Span-b,no,no,Found by reading - (d) fails. Pair fails (e) on the symmetric session-limit kill,post-5.1
Span,Span-B3,B,surface argument not applied to the curve half,yes,contract-API,Span-c,no,no,Design/reading - (d) fails. Pair fails (e),post-5.1
SHELL-1,SHELL-1-A2,A,shell naming rows cannot detect a rotated source column,yes,test-gap,SHELL-1-b,yes,yes,"Demonstrated by a surviving mutation across all 41 rows. Test-gap admitted under (b). Briefs sha256-stored, private target dirs; the ENOSPC stalls hit three of four lanes and were annotated on both arms equally, so the pair stays comparable - clean tally candidate",post-5.1
RC-1,RC-1-B1,B,public refusal text asserts a cause two of its three sites do not have,yes,doc,RC-1-a,unclear,no,"Text-only: the behaviour is right, the doc and Display string are wrong - doc-class, excluded by (b), though a Display payload is arguably contract-API surface. The row itself calls only ""the demonstrated half real"". PAIR FAILS (e): RB was a fresh redispatch after a 529 outage death-at-start and RA resumed once across a limit death",post-5.1
SHELL-6,SHELL-6-A1,A,"a narrowing premise false, with a measured wrong apex and a live merge-base control",yes,test-gap,SHELL-6-a,yes,yes,"Demonstrated by execution plus a merge-base control showing main built a body that GREW on an inward request - the defect was live, not latent. MAJOR-2 deduped in. Cold symmetric private targets, sha256 briefs - clean tally candidate",post-5.1
SHELL-9,SHELL-9-B1,B,closing mint does not gate its operand,unclear,code,SHELL-9-a,yes,yes,"(b) and (d) are clearly met - executed, code-class, pair cold-symmetric and uninterrupted. (a) is the open question: the row itself records a dedup caveat because the instance was PR-disclosed and RA-noted",post-5.1
C5A2,C5A2-A1,A,aperture guard admits an off-surface mint at ~101 eps,yes,code,C5A2-a,yes,no,Executed with a three-row table; (b) and (d) met. PAIR EXCLUDED under (e) by the row s own ruling: RB was KILLED TWICE mid-run by the account usage limit and resumed from transcript,post-5.1
T3A,T3A-A1,A,chart-boundary description wrong for a pole-touching sphere face,yes,code,T3A-a,yes,no,Executed against a 3-D oracle; (b) and (d) met. PAIR EXCLUDED under (e) by the row s own ruling: RA was killed mid-review by a transient outage and resumed from transcript,post-5.1
T3A,T3A-B2,B,assembled carries an unstated span-vs-period premise,yes,code,T3A-b,yes,no,Executed at 3*tau; (b) and (d) met. Same pair-level (e) exclusion,post-5.1
TBOX,TBOX-B1,B,operand box excludes most of a face s material points,yes,code,TBOX-a,yes,yes,"Measured (1591/1681 points outside), code-class, latent but real. Neither REVIEW arm was interrupted - the implementer arm s two usage-limit pauses are not what (e) reaches, since (e) speaks of a review being interrupted. Clean tally candidate",post-5.1
H4,H4-B2,B,setback sign pinned by nothing on moved code,yes,test-gap,H4-b,yes,yes,"Surviving mutant across 1030 rows, re-measured at the fix pass (which also found the reviewer s own four-quadrant row green, so the pin was re-cut). Both arms uninterrupted, sha256 briefs, private targets - clean tally candidate",post-5.1
DOCM-4,DOCM-4-A1,A,undisclosed edit inside another unit s fence,yes,doc,DOCM-4-a,no,yes,"Process/disclosure class, not code, test-gap or contract-API - excluded by (b), which is also how the row scores it (+0, process-class)",post-5.1
DOCM-1,DOCM-1-A1,A,symbolic-lane asymmetry between derived and authored frames,yes,code,DOCM-1-a,yes,yes,"Two red probes at three eps, reproduced by the orchestrator. Pair FAIR, both complete, private scratch dirs - clean tally candidate",post-5.1
DOCM-1,DOCM-1-B1,B,A3 blind to the handedness it names,yes,test-gap,DOCM-1-b,yes,yes,Surviving mutant - (d) met by a mutant that stayed green. Test-gap admitted under (b). Clean tally candidate,post-5.1
DOCM-7,DOCM-7-B1,B,n-ary union fuses or refuses depending on member order,yes,contract-API,DOCM-7-a,yes,yes,"Twelve probes, one red by design; the contract the spec drew is not what ships. Pair FAIR, both complete - clean tally candidate",post-5.1
DOCM-8,DOCM-8-A1,A,merge offer lost for a consumed face,yes,code,DOCM-8-b,yes,yes,"Red probe against a base/head comparison. Pair FAIR: RA's arm terminated BEFORE its first action when API credits ran out and restarted on the same head with the same brief, so no review work was interrupted or truncated - the asymmetry is wall-clock only. Clean tally candidate",post-5.1
RIM,RIM-A2,A,NotOneRim guard pinned by nothing,yes,test-gap,RIM-b,yes,yes,"Surviving mutant across 2180 rows. Pair FAIR - no glimpse either side, both complete, sha256 briefs, private targets. Clean tally candidate",post-5.1
RIM,RIM-A1,A,interval row vacuous - its carriers are point enclosures,yes,test-gap,RIM-a,yes,yes,"Surviving mutant across 2310 rows. The flag the row raises resolves in favour of counting: the row was NEW in this unit, so a fixture that cannot falsify its own subject is a test-gap defect of the unit, and test-gap is an admitted class. Distinct defect from RIM-A2 per the row s explicit no-dedup note",post-5.1
H6,H6-B2,B,falsified sentences left standing inside the swept set,yes,doc,H6-b,yes,yes,"Doc-class, excluded by (b) as the row states",post-5.1
H7,H7-B1,B,new decision lever pinned by nothing,yes,test-gap,H7-a,yes,yes,"Surviving mutant across 1101 rows, with the cause identified (every fixture crease extent exactly 1.0, every cap margin exactly 0). Pair FAIR though FLAGGED: RA s two disclosed glimpses were a branch name/SHA and fix-pass output of a DIFFERENT unit, never the other review lane s findings. Clean tally candidate",post-5.1
PERF-5,PERF-5-A1,A,pick memo key weaker than the reuse condition it cites,yes,code,PERF-5-a,unclear,no,"Adjudicated upheld on the spec s condition (""the memo REUSED"", i.e. both keys), but the stated evidence is an argument about key strength rather than a red probe or measured wrong value - (d) unclear. PAIR EXCLUDED under (e) by the row s own ruling: RB died on the usage limit on two dispatches and resumed",post-5.1
PERF-6,PERF-6-A1,A,undecided sign passes tier 3 where main refused,yes,code,PERF-6-a,yes,no,Demonstrated on a thin curved strip at three eps and verified on the branch by the orchestrator; (b) and (d) met. PAIR EXCLUDED under (e): BOTH arms died on the usage limit and resumed,post-5.1
PERF-6,PERF-6-B1,B,the moved lane has no bit pin; three of five rows eps-invariant,yes,test-gap,PERF-6-b,yes,no,"Measured eps-invariance, verified on the branch by the orchestrator; (b) and (d) met. Same pair-level (e) exclusion",post-5.1
