row_id,fix_size,gate_red_rounds,converged_clean,self_caught,review_verdict,evidence
KERNEL,1,0,1,0,APPROVE,"micro (2 prose corrections: measured-truth tolerance claim in body+comment)"
SKINFIT,0,0,1,0,APPROVE,"none beyond the body edit; APPROVE 0/1/3 rubric 5/5/5"
M7-3,3,0,1,1,APPROVE_WITH_FIXES,"moderate (the rim residual gate with a REPORTED role inversion)"
FOLD,1,0,1,0,APPROVE_WITH_FIXES,"micro (doc-comment truth with the trap named; 5-ulp unit-slip corrections)"
MONTAGE,0,0,1,1,NA,"none (merged as delivered); the stop-and-report IS the discipline"
MIGRATE,4,0,0,0,APPROVE_WITH_FIXES,"substantial+ (F15 conversion; THREE Evan design rounds absorbed mid-pass)"
M6-5,0,0,1,0,APPROVE,"none (MINORs ride PR-2); APPROVE 0/2/3"
MESH,NA,0,0,0,APPROVE,"folded in-unit; ~444k impl (incl. conflict fix + visual rework)"
MV2,0,0,1,0,NA,"fix_pass: none; MERGED #221 (Actions-outage waiver; eyeball = the gate)"
GUARD,0,0,1,0,NA,"none; all three scenarios + a bonus arm executed"
M6-6,2,1,0,0,NOT_MERGEABLE,"1 MAJ (missing test lint header — both clippy jobs red; trivial)"
